,Age,BusinessTravel,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
11,29,2,153,15,2,1,15,4,0,49,2,2,3,4193.0,12682,0.0,12,3.0,4,80,0,10.0,3,3,9.0,5.0,0.0,8.0,0
12,31,2,670,26,1,1,16,1,1,31,3,1,3,2911.0,15170,1.0,17,3.0,4,80,1,5.0,1,2,5.0,2.0,4.0,3.0,0
13,34,2,1346,19,2,1,18,2,1,93,3,1,4,2661.0,8758,0.0,11,3.0,3,80,1,3.0,2,3,2.0,2.0,1.0,2.0,0
14,28,2,103,24,3,1,19,3,1,50,2,1,3,2028.0,12947,5.0,14,3.0,2,80,0,6.0,4,3,4.0,2.0,0.0,3.0,1
15,29,2,1389,21,4,1,20,2,0,51,4,3,1,9980.0,10195,1.0,11,3.0,3,80,1,10.0,1,3,10.0,9.0,7.5,8.0,0
16,32,2,334,5,2,1,21,1,1,80,4,1,2,3298.0,15053,0.0,12,3.0,4,80,2,7.0,5,2,6.0,2.0,0.0,5.0,0
17,22,0,1123,16,2,1,22,4,1,96,4,1,4,2935.0,7324,1.0,13,3.0,2,80,2,1.0,2,2,1.0,0.0,0.0,0.0,0
18,53,2,1219,2,4,1,23,1,0,78,2,4,4,15427.0,22021,2.0,16,3.0,3,80,0,28.5,3,3,18.0,8.0,3.0,7.0,0
19,38,2,371,2,3,1,24,4,1,45,3,1,4,3944.0,4306,5.0,11,3.0,3,80,0,6.0,3,3,3.0,2.0,1.0,2.0,0
20,24,0,673,11,2,1,26,1,0,96,4,2,3,4011.0,8232,0.0,18,3.0,4,80,1,5.0,5,2,4.0,2.0,1.0,3.0,0
21,36,2,1218,9,4,1,27,3,1,82,2,1,1,3407.0,6986,7.0,23,3.0,2,80,0,10.0,4,3,5.0,3.0,0.0,3.0,1
22,34,2,419,7,4,1,28,1,0,53,3,3,2,11994.0,21293,0.0,11,3.0,3,80,0,13.0,4,3,12.0,6.0,2.0,11.0,0
23,21,2,391,15,2,1,30,3,1,96,3,1,4,1232.0,19281,1.0,14,3.0,4,80,0,0.0,6,3,0.0,0.0,0.0,0.0,0
24,34,2,699,6,1,1,31,2,1,83,3,1,1,2960.0,17102,2.0,11,3.0,3,80,0,8.0,2,3,4.0,2.0,1.0,3.0,1
25,53,2,1282,5,3,1,32,3,0,58,3,5,3,16581.0,10735,4.0,11,3.0,4,80,1,26.0,3,2,14.0,13.0,4.0,8.0,0
26,32,1,1125,16,1,1,33,2,0,72,1,1,1,3919.0,4681,1.0,22,3.0,2,80,0,10.0,5,3,10.0,2.0,6.0,7.0,1
27,42,2,691,8,4,1,35,3,1,48,3,2,2,6825.0,21173,0.0,11,3.0,4,80,1,10.0,2,3,9.0,7.0,4.0,2.0,0
28,44,2,477,7,4,1,36,1,0,42,2,3,4,10248.0,2094,3.0,14,3.0,4,80,1,24.0,4,3,18.0,6.0,5.0,14.5,0
29,46,2,705,2,4,1,38,2,0,83,3,5,1,16581.0,22822,3.0,12,3.0,4,80,0,22.0,2,2,2.0,2.0,2.0,1.0,0
30,33,2,924,2,3,1,39,3,1,78,3,1,4,2496.0,6670,4.0,11,3.0,4,80,0,7.0,3,3,1.0,1.0,0.0,0.0,0
31,44,2,1459,10,4,1,40,4,1,41,3,2,4,6465.0,19121,2.0,13,3.0,4,80,0,9.0,5,4,4.0,2.0,1.0,3.0,0
32,30,2,125,9,2,1,41,4,1,83,2,1,3,2206.0,16117,1.0,13,3.0,1,80,0,10.0,5,3,10.0,0.0,1.0,8.0,0
33,39,2,895,5,3,1,42,4,1,56,3,2,4,2086.0,3335,3.0,14,3.0,3,80,1,19.0,6,4,1.0,0.0,0.0,0.0,1
34,24,2,813,1,3,1,45,2,1,61,3,1,4,2293.0,3020,2.0,16,3.0,1,80,1,6.0,2,2,2.0,0.0,2.0,0.0,1
35,43,2,1273,2,2,1,46,4,0,72,4,1,3,2645.0,21923,1.0,12,3.0,4,80,2,6.0,3,2,5.0,3.0,1.0,4.0,0
36,50,2,869,3,2,1,47,1,1,86,2,1,3,2683.0,3810,1.0,14,3.0,3,80,0,3.0,2,3,3.0,2.0,0.0,2.0,1
37,35,2,890,2,3,1,49,4,0,97,3,1,4,2014.0,9687,1.0,13,3.0,1,80,0,2.0,3,3,2.0,2.0,2.0,2.0,0
38,36,2,852,5,4,1,51,2,0,82,2,1,1,3419.0,13072,8.5,14,3.0,4,80,1,6.0,3,4,1.0,1.0,0.0,0.0,0
39,33,1,1141,1,3,1,52,3,0,42,4,2,1,5376.0,3193,2.0,19,3.0,1,80,2,10.0,3,3,5.0,3.0,1.0,3.0,0
40,35,2,464,4,2,1,53,3,1,75,3,1,4,1951.0,10910,1.0,12,3.0,3,80,1,1.0,3,3,1.0,0.0,0.0,0.0,0
41,27,2,1240,2,4,1,54,4,0,33,3,1,1,2341.0,19715,1.0,13,3.0,4,80,1,1.0,6,3,1.0,0.0,0.0,0.0,0
42,26,2,1357,25,3,1,55,1,1,48,1,1,3,2293.0,10558,1.0,12,3.0,3,80,0,1.0,2,2,1.0,0.0,0.0,1.0,1
43,27,1,994,8,3,1,56,4,1,37,3,3,3,8726.0,2975,1.0,15,3.0,4,80,0,9.0,0,3,9.0,8.0,1.0,7.0,0
44,30,1,721,1,2,1,57,3,0,58,3,2,4,4011.0,10781,1.0,23,3.0,4,80,0,12.0,2,3,12.0,8.0,3.0,7.0,0
45,41,2,1360,12,3,1,58,2,0,49,3,5,3,16581.0,16280,1.0,12,3.0,4,80,0,23.0,0,3,18.0,14.5,7.5,8.0,1
46,34,0,1065,23,4,1,60,2,1,72,3,2,3,4568.0,10034,0.0,20,3.0,3,80,0,10.0,2,3,9.0,5.0,7.5,7.0,0
47,37,2,408,19,2,1,61,2,1,73,3,1,2,3022.0,10227,4.0,21,3.0,1,80,0,8.0,1,3,1.0,0.0,0.0,0.0,0
48,46,1,1211,5,4,1,62,1,1,98,3,2,4,5772.0,20445,4.0,21,3.0,3,80,0,14.0,4,3,9.0,6.0,0.0,8.0,0
49,35,2,1229,8,1,1,63,4,1,36,4,1,4,2269.0,4892,1.0,19,3.0,4,80,0,1.0,2,3,1.0,0.0,0.0,1.0,0
50,48,2,626,1,2,1,64,1,1,98,2,3,3,5381.0,19294,8.5,13,3.0,4,80,0,23.0,2,3,1.0,0.0,0.0,0.0,1
51,28,2,1434,5,4,1,65,3,1,50,3,1,3,3441.0,11179,1.0,13,3.0,3,80,0,2.0,3,2,2.0,2.0,2.0,2.0,1
52,44,2,1488,1,5,1,68,2,0,75,3,2,1,5454.0,4009,5.0,21,3.0,3,80,1,9.0,2,2,4.0,3.0,1.0,3.0,0
53,35,0,1097,11,2,1,70,3,1,79,2,3,1,9884.0,8302,2.0,13,3.0,3,80,1,10.0,3,3,4.0,0.0,2.0,3.0,0
54,26,2,1443,23,3,1,72,3,0,47,2,2,4,4157.0,21436,7.0,19,3.0,3,80,1,5.0,2,2,2.0,2.0,0.0,0.0,0
55,33,1,515,1,2,1,73,1,0,98,3,3,4,13458.0,15146,1.0,12,3.0,3,80,0,15.0,1,3,15.0,14.0,7.5,12.0,0
56,35,1,853,18,5,1,74,2,1,71,3,3,1,9069.0,11031,1.0,22,3.0,4,80,1,9.0,3,2,9.0,8.0,1.0,8.0,0
57,35,2,1142,23,4,1,75,3,0,30,3,1,1,4014.0,16002,3.0,15,3.0,3,80,1,4.0,3,3,2.0,2.0,2.0,2.0,0
58,31,2,655,7,4,1,76,4,1,48,3,2,4,5915.0,9528,3.0,22,3.0,4,80,1,10.0,3,2,7.0,7.0,1.0,7.0,0
59,37,2,1115,1,4,1,77,1,1,51,2,2,3,5993.0,2689,1.0,18,3.0,3,80,1,7.0,2,4,7.0,5.0,0.0,7.0,0
60,32,2,427,1,3,1,78,1,1,33,3,2,4,6162.0,10877,1.0,22,3.0,2,80,1,9.0,3,3,9.0,8.0,7.0,8.0,0
61,38,1,653,29,5,1,79,4,0,50,3,2,4,2406.0,5456,1.0,11,3.0,4,80,0,10.0,2,3,10.0,3.0,7.5,9.0,0
62,50,2,989,7,2,1,80,2,0,43,2,5,3,16581.0,16701,5.0,12,3.0,4,80,1,28.5,2,2,18.0,3.0,7.5,8.0,0
63,59,2,1435,25,3,1,81,1,0,99,3,3,1,7637.0,2354,7.0,11,3.0,4,80,0,28.0,3,2,18.0,14.5,7.0,9.0,0
64,36,2,1223,8,3,1,83,3,0,59,3,3,3,10096.0,8202,1.0,13,3.0,2,80,3,17.0,2,3,17.0,14.0,7.5,8.0,0
65,55,2,836,8,3,1,84,4,0,33,3,4,3,14756.0,19730,2.0,14,3.0,3,80,3,21.0,2,3,5.0,0.0,0.0,2.0,0
66,36,1,1195,11,3,1,85,2,1,95,2,2,2,6499.0,22656,1.0,13,3.0,3,80,0,6.0,3,3,6.0,5.0,0.0,3.0,0
67,45,2,1339,7,3,1,86,2,1,59,3,3,1,9724.0,18787,2.0,17,3.0,3,80,1,25.0,2,3,1.0,0.0,0.0,0.0,0
68,35,1,664,1,3,1,88,2,1,79,3,1,1,2194.0,5868,4.0,13,3.0,4,80,1,5.0,2,2,3.0,2.0,1.0,2.0,0
69,36,2,318,9,3,1,90,4,1,79,2,1,3,3388.0,21777,0.0,17,3.0,1,80,1,2.0,0,2,1.0,0.0,0.0,0.0,1
70,59,1,1225,1,1,1,91,1,0,57,2,2,3,5473.0,24668,7.0,11,3.0,4,80,0,20.0,2,2,4.0,3.0,1.0,3.0,0
71,29,2,1328,2,3,1,94,3,1,76,3,1,2,2703.0,4956,0.0,23,3.0,4,80,1,6.0,3,3,5.0,4.0,0.0,4.0,0
72,31,2,1082,1,4,1,95,3,1,87,3,1,2,2501.0,18775,1.0,17,3.0,2,80,0,1.0,4,3,1.0,1.0,1.0,0.0,0
73,32,2,548,1,3,1,96,2,1,66,3,2,2,6220.0,7346,1.0,17,3.0,2,80,2,10.0,3,3,10.0,4.0,0.0,9.0,0
74,36,2,132,6,3,1,97,2,0,55,4,1,4,3038.0,22002,3.0,12,3.0,2,80,0,5.0,3,3,1.0,0.0,0.0,0.0,0
75,31,2,746,8,4,1,98,3,0,61,3,2,4,4424.0,20682,1.0,23,3.0,4,80,0,11.0,2,3,11.0,7.0,1.0,8.0,0
76,35,2,776,1,4,1,100,3,1,32,2,2,1,4312.0,23016,0.0,14,3.0,2,80,0,16.0,2,3,15.0,13.0,2.0,8.0,0
77,45,2,193,6,4,1,101,4,1,52,3,3,1,13245.0,15067,4.0,14,3.0,2,80,0,17.0,3,4,0.0,0.0,0.0,0.0,0
78,37,2,397,7,4,1,102,1,1,30,3,3,3,13664.0,25258,4.0,13,3.0,1,80,0,16.0,3,4,5.0,2.0,0.0,2.0,0
79,46,2,945,5,2,1,103,2,1,80,3,2,2,5021.0,10425,8.0,22,3.0,4,80,1,16.0,2,3,4.0,2.0,0.0,2.0,0
80,30,2,852,1,1,1,104,4,1,55,2,2,4,5126.0,15998,1.0,12,3.0,3,80,2,10.0,1,2,10.0,8.0,3.0,0.0,0
81,35,2,1214,1,3,1,105,2,1,30,2,1,3,2859.0,26278,1.0,18,3.0,1,80,0,6.0,3,3,6.0,4.0,0.0,4.0,0
82,55,2,111,1,2,1,106,1,1,70,3,3,4,10239.0,18092,3.0,14,3.0,4,80,1,24.0,4,3,1.0,0.0,1.0,0.0,0
83,38,0,573,6,3,1,107,2,0,79,1,2,4,5329.0,15717,7.0,12,3.0,4,80,3,17.0,3,3,13.0,11.0,1.0,9.0,0
84,34,2,1153,1,2,1,110,1,1,94,3,2,2,4325.0,17736,1.0,15,3.0,3,80,0,5.0,2,3,5.0,2.0,1.0,3.0,0
85,56,2,1400,7,3,1,112,4,1,49,1,3,4,7260.0,21698,4.0,11,3.0,1,80,0,28.5,3,2,6.0,4.0,0.0,2.0,0
86,23,2,541,2,1,1,113,3,1,62,3,1,1,2322.0,9518,3.0,13,3.0,3,80,1,3.0,3,3,0.0,0.0,0.0,0.0,0
87,51,2,432,9,4,1,116,4,1,96,3,1,4,2075.0,18725,3.0,23,3.0,2,80,2,10.0,4,3,4.0,2.0,0.0,3.0,0
88,30,2,288,2,3,1,117,3,1,99,2,2,4,4152.0,15830,1.0,19,3.0,1,80,3,11.0,3,3,11.0,10.0,7.5,8.0,0
89,46,2,669,9,2,1,118,3,1,64,2,3,4,9619.0,13596,1.0,16,3.0,4,80,0,9.0,3,3,9.0,8.0,4.0,7.0,1
90,40,1,530,1,4,1,119,3,1,78,2,4,2,13503.0,14115,1.0,22,3.0,4,80,1,22.0,3,2,18.0,3.0,7.5,11.0,0
91,51,2,632,21,4,1,120,3,1,71,3,2,4,5441.0,8423,0.0,22,3.0,4,80,0,11.0,2,1,10.0,7.0,1.0,0.0,0
92,30,2,1334,4,2,1,121,3,0,63,2,2,2,5209.0,19760,1.0,12,3.0,2,80,3,11.0,4,2,11.0,8.0,2.0,7.0,0
93,46,1,638,1,3,1,124,3,1,40,2,3,1,10673.0,3142,2.0,13,3.0,3,80,1,21.0,5,2,10.0,9.0,7.5,5.0,0
94,32,2,1093,6,4,1,125,2,1,87,3,2,3,5010.0,24301,1.0,16,3.0,1,80,0,12.0,0,3,11.0,8.0,5.0,7.0,0
95,54,2,1217,2,4,1,126,1,0,60,3,3,3,13549.0,24001,8.5,12,3.0,1,80,1,16.0,5,1,4.0,3.0,0.0,3.0,0
96,24,2,1353,3,2,1,128,1,0,33,3,2,3,4999.0,17519,0.0,21,3.0,1,80,1,4.0,2,2,3.0,2.0,0.0,2.0,0
97,28,0,120,4,3,1,129,2,1,43,3,2,3,4221.0,8863,1.0,15,3.0,2,80,0,5.0,3,4,5.0,4.0,0.0,4.0,0
98,58,2,682,10,4,1,131,4,1,37,3,4,3,13872.0,24409,0.0,13,3.0,3,80,0,28.5,1,2,18.0,10.0,1.0,8.0,0
99,44,0,489,23,3,1,132,2,1,67,3,2,2,2042.0,25043,4.0,12,3.0,3,80,1,17.0,3,4,3.0,2.0,1.0,2.0,0
100,37,2,807,6,4,1,133,3,1,63,3,1,1,2073.0,23648,4.0,22,3.0,4,80,0,7.0,3,3,3.0,2.0,0.0,2.0,1
101,32,2,827,1,1,1,134,4,1,71,3,1,1,2956.0,15178,1.0,13,3.0,4,80,0,1.0,2,3,1.0,0.0,0.0,0.0,0
102,20,1,871,6,3,1,137,4,0,66,2,1,4,2926.0,19783,1.0,18,3.0,2,80,0,1.0,5,3,1.0,0.0,1.0,0.0,1
103,34,2,665,6,4,1,138,1,0,41,3,2,3,4809.0,12482,1.0,14,3.0,3,80,0,16.0,3,3,16.0,13.0,2.0,10.0,0
104,37,0,1040,2,2,1,139,3,1,100,2,2,4,5163.0,15850,5.0,14,3.0,4,80,1,17.0,2,4,1.0,0.0,0.0,0.0,0
105,59,0,1420,2,4,1,140,3,0,32,2,5,4,16581.0,21922,8.5,21,3.0,4,80,1,28.5,3,3,3.0,2.0,2.0,2.0,0
106,50,1,1115,1,3,1,141,1,0,73,3,5,2,16581.0,9755,3.0,19,3.0,1,80,0,28.0,1,2,8.0,3.0,0.0,7.0,0
107,25,2,240,5,3,1,142,3,1,46,2,2,3,5744.0,26959,1.0,11,3.0,4,80,0,6.0,1,3,6.0,4.0,0.0,3.0,1
108,25,2,1280,7,1,1,143,4,1,64,2,1,4,2889.0,26897,1.0,11,3.0,3,80,2,2.0,2,3,2.0,2.0,2.0,1.0,0
109,22,2,534,15,3,1,144,2,0,59,3,1,4,2871.0,23785,1.0,15,3.0,3,80,0,1.0,5,3,0.0,0.0,0.0,0.0,0
110,51,1,1456,1,4,1,145,1,0,30,2,3,1,7484.0,25796,3.0,20,3.0,3,80,0,23.0,1,2,13.0,12.0,7.5,8.0,0
111,34,1,658,7,3,1,147,1,1,66,1,2,3,6074.0,22887,1.0,24,3.0,4,80,0,9.0,3,3,9.0,7.0,0.0,6.0,1
112,54,0,142,26,3,1,148,4,0,30,4,4,4,16581.0,13871,2.0,12,3.0,3,80,0,23.0,3,3,5.0,3.0,4.0,4.0,0
113,24,2,1127,18,1,1,150,2,1,52,3,1,3,2774.0,13257,0.0,12,3.0,3,80,1,6.0,2,3,5.0,3.0,1.0,2.0,0
114,34,2,1031,6,4,1,151,3,0,45,2,2,2,4505.0,15000,6.0,15,3.0,3,80,1,12.0,3,3,1.0,0.0,0.0,0.0,0
115,37,2,1189,3,3,1,152,3,1,87,3,3,4,7428.0,14506,2.0,12,3.0,1,80,0,12.0,3,3,5.0,3.0,1.0,3.0,0
116,34,2,1354,5,3,1,153,3,0,45,2,3,1,11631.0,5615,2.0,12,3.0,4,80,0,14.0,6,3,11.0,10.0,5.0,8.0,0
117,36,1,1467,11,2,1,154,2,0,92,3,3,4,9738.0,22952,0.0,14,3.0,3,80,1,10.0,6,3,9.0,7.0,2.0,8.0,0
118,36,2,922,3,2,1,155,1,0,39,3,1,4,2835.0,2561,5.0,22,3.0,1,80,1,7.0,2,3,1.0,0.0,0.0,0.0,0
119,43,1,394,26,2,1,158,3,1,92,3,4,4,16581.0,19494,1.0,12,3.0,4,80,2,25.0,3,4,18.0,12.0,4.0,12.0,0
120,30,1,1312,23,3,1,159,1,1,96,1,1,3,2613.0,22310,1.0,25,3.0,3,80,3,10.0,2,2,10.0,7.0,0.0,9.0,0
121,33,0,750,22,2,1,160,3,1,95,3,2,2,6146.0,15480,0.0,13,3.0,1,80,1,8.0,2,4,7.0,7.0,0.0,7.0,0
122,56,2,441,14,4,1,161,2,0,72,3,1,2,4963.0,4510,8.5,18,3.0,1,80,3,7.0,2,3,5.0,4.0,4.0,3.0,1
123,51,2,684,6,3,1,162,1,1,51,3,5,3,16581.0,6462,7.0,13,3.0,3,80,0,23.0,5,3,18.0,14.5,7.5,14.5,0
124,31,2,249,6,4,1,163,2,1,76,1,2,3,6172.0,20739,4.0,18,3.0,2,80,0,12.0,3,2,7.0,7.0,7.0,7.0,1
125,26,2,841,6,3,1,164,3,0,46,2,1,2,2368.0,23300,1.0,19,3.0,3,80,0,5.0,3,2,5.0,4.0,4.0,3.0,0
126,58,2,147,23,4,1,165,4,0,94,3,3,4,10312.0,3465,1.0,12,3.0,4,80,1,28.5,3,2,18.0,10.0,7.5,6.0,1
127,19,2,528,22,1,1,167,4,1,50,3,1,3,1675.0,26820,1.0,19,3.0,4,80,0,0.0,2,2,0.0,0.0,0.0,0.0,1
128,22,2,594,2,1,1,169,3,1,100,3,1,4,2523.0,19299,0.0,14,3.0,3,80,1,3.0,2,3,2.0,1.0,2.0,1.0,0
129,49,2,470,20,4,1,170,3,0,96,3,2,1,6567.0,5549,1.0,14,3.0,3,80,0,16.0,2,2,15.0,11.0,5.0,11.0,0
130,43,1,957,28,3,1,171,2,0,72,4,1,3,4739.0,16090,4.0,12,3.0,4,80,0,18.0,2,3,3.0,2.0,1.0,2.0,0
131,50,1,809,12,3,1,174,3,0,77,3,3,4,9208.0,6645,4.0,11,3.0,4,80,0,16.0,3,3,2.0,2.0,2.0,1.0,0
132,31,2,542,20,3,1,175,2,0,71,1,2,3,4559.0,24788,3.0,11,3.0,3,80,1,4.0,2,3,2.0,2.0,2.0,2.0,1
133,41,2,802,9,1,1,176,3,1,96,3,3,3,8189.0,21196,3.0,13,3.0,3,80,1,12.0,2,3,9.0,7.0,0.0,7.0,0
134,26,2,1355,25,1,1,177,3,0,61,3,1,3,2942.0,8916,1.0,23,3.0,4,80,1,8.0,3,3,8.0,7.0,5.0,7.0,0
135,36,2,216,6,2,1,178,2,1,84,3,2,2,4941.0,2819,6.0,20,3.0,4,80,2,7.0,0,3,3.0,2.0,0.0,1.0,0
136,51,1,1150,8,4,1,179,1,1,53,1,3,4,10650.0,25150,2.0,15,3.0,4,80,0,18.0,2,3,4.0,2.0,0.0,3.0,1
137,39,2,1329,4,4,1,182,4,0,47,2,2,3,5902.0,14590,4.0,14,3.0,3,80,1,17.0,1,4,15.0,11.0,5.0,9.0,0
138,25,2,959,28,3,1,183,1,1,41,2,2,3,8639.0,24835,2.0,18,3.0,4,80,0,6.0,3,3,2.0,2.0,2.0,2.0,0
139,30,2,1240,9,3,1,184,3,1,48,3,2,4,6347.0,13982,0.0,19,3.0,4,80,0,12.0,2,1,11.0,9.0,4.0,7.0,0
140,32,2,1033,9,3,1,190,1,0,41,3,1,1,4200.0,10224,7.0,22,3.0,1,80,0,10.0,2,4,5.0,4.0,0.0,4.0,1
141,45,2,1316,29,3,1,192,3,1,83,3,1,4,3452.0,9752,5.0,13,3.0,2,80,0,9.0,2,2,6.0,5.0,0.0,3.0,0
142,38,2,364,3,5,1,193,4,0,32,3,2,3,4317.0,2302,3.0,20,3.0,2,80,0,19.0,2,3,3.0,2.0,2.0,2.0,0
143,30,2,438,18,3,1,194,1,0,75,3,1,3,2632.0,23910,1.0,14,3.0,3,80,0,5.0,4,2,5.0,4.0,0.0,4.0,0
144,32,1,689,9,2,1,195,4,1,35,1,2,4,4668.0,22812,0.0,17,3.0,4,80,3,9.0,2,4,8.0,7.0,0.0,7.0,0
145,30,2,201,5,3,1,197,4,0,84,3,1,1,3204.0,10415,5.0,14,3.0,4,80,1,8.0,3,3,3.0,2.0,2.0,2.0,0
146,30,2,1427,2,1,1,198,2,1,35,2,1,4,2720.0,11162,0.0,13,3.0,4,80,0,6.0,3,3,5.0,3.0,1.0,2.0,0
147,41,1,857,10,3,1,199,4,1,91,2,4,1,16581.0,12888,4.0,13,3.0,2,80,1,21.0,2,2,7.0,6.0,7.0,7.0,0
148,41,2,933,9,4,1,200,3,1,94,3,1,1,2238.0,6961,2.0,21,3.0,4,80,1,7.0,2,3,5.0,0.0,1.0,4.0,0
149,19,2,1181,3,1,1,201,2,0,79,3,1,2,1483.0,16102,1.0,14,3.0,4,80,0,1.0,3,3,1.0,0.0,0.0,0.0,0
150,40,1,1395,26,3,1,202,2,0,54,3,2,2,5605.0,8504,1.0,11,3.0,1,80,1,20.0,2,3,18.0,7.0,2.0,13.0,0
151,35,2,662,1,5,1,204,3,1,94,3,3,2,7295.0,11439,1.0,13,3.0,1,80,2,10.0,3,3,10.0,8.0,0.0,6.0,0
152,53,2,1436,6,2,1,205,2,1,34,3,2,3,2306.0,16047,2.0,20,3.0,4,80,1,13.0,3,1,7.0,7.0,4.0,5.0,0
153,45,2,194,9,3,1,206,2,1,60,3,2,2,2348.0,10901,8.0,18,3.0,3,80,1,20.0,2,1,17.0,9.0,0.0,14.5,0
154,32,1,967,8,3,1,207,2,0,43,3,3,4,8998.0,15589,1.0,14,3.0,4,80,0,9.0,2,3,9.0,8.0,3.0,7.0,0
155,29,0,1496,1,1,1,208,4,1,41,3,2,3,4319.0,26283,1.0,13,3.0,1,80,1,10.0,1,3,10.0,7.0,0.0,9.0,0
156,51,2,1169,7,4,1,211,2,1,34,2,2,3,6132.0,13983,2.0,17,3.0,3,80,0,10.0,2,3,1.0,0.0,0.0,0.0,0
157,58,2,1145,9,3,1,214,2,0,75,2,1,2,3346.0,11873,4.0,20,3.0,2,80,1,9.0,3,2,1.0,0.0,0.0,0.0,0
158,40,2,630,4,4,1,215,3,1,67,2,3,4,10855.0,8552,7.0,11,3.0,1,80,1,15.0,2,2,12.0,11.0,2.0,11.0,0
159,34,1,303,2,4,1,216,3,0,75,3,1,3,2231.0,11314,6.0,18,3.0,4,80,1,6.0,3,3,4.0,3.0,1.0,2.0,0
160,22,2,1256,19,1,1,217,3,1,80,3,1,4,2323.0,11992,1.0,24,3.0,1,80,2,2.0,6,3,2.0,2.0,2.0,2.0,0
161,27,0,691,9,3,1,218,4,1,57,3,1,2,2024.0,5970,6.0,18,3.0,4,80,1,6.0,1,1,2.0,2.0,2.0,2.0,0
162,28,2,440,21,3,1,221,3,1,42,3,1,4,2713.0,6672,1.0,11,3.0,3,80,1,5.0,2,1,5.0,2.0,0.0,2.0,0
163,57,2,334,24,2,1,223,3,1,83,4,3,4,9439.0,23402,3.0,16,3.0,2,80,1,12.0,2,1,5.0,3.0,1.0,4.0,0
164,27,0,1450,3,3,1,224,3,1,79,2,1,3,2566.0,25326,1.0,15,3.0,4,80,1,1.0,2,2,1.0,1.0,0.0,1.0,0
165,50,2,1452,11,3,1,226,3,0,53,3,5,2,16581.0,17053,3.0,15,3.0,2,80,0,21.0,5,3,5.0,4.0,4.0,4.0,0
166,41,2,465,14,3,1,227,1,1,56,3,1,3,2451.0,4609,4.0,12,3.0,1,80,1,13.0,2,3,9.0,8.0,1.0,8.0,0
167,30,2,1339,5,3,1,228,2,0,41,3,3,4,9419.0,8053,2.0,12,3.0,3,80,1,12.0,2,3,10.0,9.0,7.0,4.0,0
168,38,2,702,1,4,1,230,1,0,59,2,2,4,8686.0,12930,4.0,22,3.0,3,80,0,12.0,2,4,8.0,3.0,0.0,7.0,0
169,32,2,120,6,5,1,231,3,1,43,3,1,3,3038.0,12430,3.0,20,3.0,1,80,0,8.0,2,3,5.0,4.0,1.0,4.0,0
170,27,2,1157,17,3,1,233,3,1,51,3,1,2,3058.0,13364,0.0,16,3.0,4,80,1,6.0,3,2,5.0,2.0,1.0,1.0,0
171,19,1,602,1,1,1,235,3,0,100,1,1,1,2325.0,20989,0.0,21,3.0,1,80,0,1.0,5,4,0.0,0.0,0.0,0.0,1
